X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_1	cell_1	ES	FALSE	FALSE	0	0	0	1.250288942	2	0.486842258	2.66361663	0.260153248	1
cell_2	cell_2	ES	FALSE	FALSE	0	0	0	1.289284738	2	0.387795585	2.898839987	0.205614042	1
cell_3	cell_3	ES	FALSE	FALSE	0	0	0	1.289284738	2	0.072727467	2.551041545	0.187641016	1
cell_4	cell_4	ES	FALSE	FALSE	0	0	1	1.346566698	2	0.070473874	3.676374166	0.064670376	1
cell_5	cell_5	ES	FALSE	FALSE	0	0	1	1.325416436	2	0.12959544	3.296272647	0.076845158	1
cell_6	cell_6	PGC	FALSE	FALSE	0	0	1	1.347447959	2	0.566713806	3.711472733	0.029252251	1
cell_7	cell_7	ES	FALSE	FALSE	0	0	2	1.20556495	2	0.182993019	3.638369425	0.279223696	1
cell_8	cell_8	ES	FALSE	FALSE	0	0	2	1.221647962	2	0.39888905	3.737865501	0.257785379	1
cell_9	cell_9	ES	FALSE	FALSE	0	0	2	1.221647962	2	0.195792716	4.00822638	0.224105446	1
cell_10	cell_10	ES	TRUE	FALSE	0	0	2	1.234866876	2	9.188500181	4.194302122	0.201853003	1
cell_11	cell_11	ES	FALSE	FALSE	0	0	2	1.189481938	2	0.223025187	2.985451273	0.291307356	1
cell_12	cell_12	ES	FALSE	FALSE	0	0	2	1.192125721	2	0.084728656	2.717356372	0.280471703	1
cell_15	cell_15	ES	FALSE	FALSE	0	0	3	1.301842706	2	0.348029865	3.548324689	0.158659837	1
cell_16	cell_16	ES	FALSE	FALSE	0	0	3	1.269456367	2	0.203585284	2.895678905	0.165725041	1
cell_17	cell_17	ES	FALSE	FALSE	0	0	3	1.215699451	2	0.158051788	2.646607769	0.24935796	1
cell_18	cell_18	ES	FALSE	FALSE	0	0	3	1.264168802	2	0.121741436	2.321712357	0.250204296	1
cell_19	cell_19	ES	FALSE	FALSE	0	0	3	1.349210481	2	0.673356554	3.593034243	0.2492876	1
cell_20	cell_20	ES	FALSE	FALSE	0	0	3	1.304486489	2	0.136756637	3.569706107	0.082400274	1
cell_21	cell_21	ES	FALSE	FALSE	0	0	3	1.404950235	2	0.289961405	2.076641238	0.262410079	1
cell_22	cell_22	ES	FALSE	FALSE	0	0	3	1.314400675	2	0.448341024	2.770433305	0.072292729	1
