T1,T2,T3
-39.065358,-5.333627,-16.714455
-38.281659,-4.224620,-17.010019
-38.691190,-4.272768,-15.674862
-37.390900,-3.575077,-15.808974
-37.336465,-4.839293,-15.904649
-36.626508,-4.292548,-14.846142
-38.880772,-5.609220,-15.428553
-38.002525,-6.147872,-14.685433
-36.724618,-5.758694,-14.644963
-37.874163,-4.846135,-14.630193
-37.135560,-6.811500,-15.283376
-37.874097,-5.934667,-16.233747
-37.009212,-6.586203,-17.337555
-37.229652,-7.564399,-16.425275
-38.492390,-6.902371,-17.335491
-38.625190,-7.025627,-15.850282
-36.695378,-5.184665,-17.834159
-38.007361,-5.473489,-17.645271
-35.459738,-5.224699,-16.927189
-36.686181,-5.647477,-16.466429
-35.692645,-5.249277,-15.412199
-35.963568,-6.508491,-15.896852
-35.915443,-4.123068,-16.191082
-36.862424,-4.052181,-17.103543
-27.240286,-9.357378,-25.862337
-27.704432,-7.958963,-26.077695
-28.489264,-8.524955,-26.684764
-28.062385,-9.682540,-26.675584
-26.022566,-9.534914,-25.768707
-26.398200,-10.938020,-25.646584
-27.403738,-10.527404,-26.397922
-26.665481,-8.277287,-25.748026
-35.112236,-6.746372,-18.579456
-34.170774,-6.819723,-18.702200
-34.273216,-5.974430,-18.395447
-34.719112,-6.086755,-19.160388
-28.069816,-7.969729,-24.503374
-28.218229,-9.164766,-23.802773
-26.715318,-8.788959,-24.233587
-29.187912,-8.568465,-25.347416
-28.176345,-9.003843,-25.071050
-27.669866,-10.433195,-24.495882
-28.781383,-10.133732,-25.040574
-26.599465,-9.975553,-24.383122
-27.623216,-9.087167,-28.716525
-26.849372,-10.176578,-28.232110
-24.780595,-9.061555,-19.710342
-27.095633,-7.749537,-28.424079
-26.328593,-9.172205,-29.079043
-25.896503,-10.547604,-28.940773
-26.546149,-8.907853,-27.867592
-24.765529,-9.061695,-19.690901
-25.674371,-8.115718,-28.434861
-25.159528,-9.035861,-28.786025
-24.855434,-10.315488,-26.762287
-25.169651,-11.198715,-27.392714
-24.491367,-10.036684,-28.385593
-24.605606,-9.253192,-27.023194
-25.305060,-8.373720,-27.343254
-25.703510,-10.032499,-27.703650
-11.523268,-9.750437,-40.392164
-14.238334,-10.000250,-39.054597
-12.744727,-9.060827,-40.640869
-13.164701,-8.953648,-39.372050
-12.532015,-10.547106,-41.065307
-12.745174,-11.944823,-39.180556
-12.802661,-11.634893,-40.372985
-13.338026,-10.845159,-38.893950
-14.023833,-11.101223,-40.154055
-12.395927,-10.509300,-39.754511
-14.326092,-11.499029,-38.780183
-13.502221,-9.981323,-40.208426
-13.738453,-10.047431,-37.335269
-13.560669,-9.562402,-35.792631
-12.898925,-9.351453,-35.922930
-12.767082,-9.758965,-38.649101
-10.283871,-9.945176,-39.873184
-11.438720,-11.769597,-39.220648
-11.639032,-9.988089,-38.922381
-12.672396,-9.071951,-37.238658
-10.707192,-9.344790,-38.092739
-11.595711,-8.777283,-39.284119
-9.927793,-9.089512,-35.429741
-12.464574,-10.583506,-36.916318
-12.173710,-11.256694,-38.251125
-10.425871,-9.252387,-35.631294
-11.229970,-9.844260,-35.493528
-9.406585,-9.905424,-38.324744
-11.227891,-11.315119,-40.311117
-10.759223,-10.957170,-38.373397
18.604659,6.304461,4.906379
18.857044,6.065710,6.408800
18.807721,6.618601,5.143017
18.926668,8.814177,7.526743
17.394728,4.898517,7.071358
18.028196,5.727881,4.165394
12.170473,14.635115,5.851330
13.513098,17.443338,5.489543
15.424153,17.766158,6.028191
17.623615,16.042788,6.330149
16.168534,12.556498,11.478281
15.235122,13.367287,13.213835
14.052579,14.154579,5.540648
14.605540,16.057356,5.384838
13.558569,13.473757,4.982497
