"T1","T2","T3"
"1",-26.2897428856175,-8.93223137816752,-24.5581601075641
"2",-26.2897428856175,-8.93223137816752,-24.5581601075641
"3",-26.2897428856175,-8.93223137816752,-24.5581601075641
"4",-26.2897428856175,-8.93223137816752,-24.5581601075641
"5",-26.2897428856175,-8.93223137816752,-24.5581601075641
"6",-26.2897428856175,-8.93223137816752,-24.5581601075641
"7",-26.2897428856175,-8.93223137816752,-24.5581601075641
"8",-26.2897428856175,-8.93223137816752,-24.5581601075641
"9",-26.2897428856175,-8.93223137816752,-24.5581601075641
"10",-26.2897428856175,-8.93223137816752,-24.5581601075641
"11",-26.2897428856175,-8.93223137816752,-24.5581601075641
"12",-26.2897428856175,-8.93223137816752,-24.5581601075641
"13",-26.2897428856175,-8.93223137816752,-24.5581601075641
"14",-26.2897428856175,-8.93223137816752,-24.5581601075641
"15",-26.2897428856175,-8.93223137816752,-24.5581601075641
"16",-26.2897428856175,-8.93223137816752,-24.5581601075641
"17",-26.2897428856175,-8.93223137816752,-24.5581601075641
"18",-26.2897428856175,-8.93223137816752,-24.5581601075641
"19",-26.2897428856175,-8.93223137816752,-24.5581601075641
"20",-26.2897428856175,-8.93223137816752,-24.5581601075641
"21",-26.2897428856175,-8.93223137816752,-24.5581601075641
"22",-26.2897428856175,-8.93223137816752,-24.5581601075641
"23",-26.2897428856175,-8.93223137816752,-24.5581601075641
"24",-26.2897428856175,-8.93223137816752,-24.5581601075641
"25",-26.2897428856175,-8.93223137816752,-24.5581601075641
"26",-26.2897428856175,-8.93223137816752,-24.5581601075641
"27",-26.2897428856175,-8.93223137816752,-24.5581601075641
"28",-26.2897428856175,-8.93223137816752,-24.5581601075641
"29",-26.2897428856175,-8.93223137816752,-24.5581601075641
"30",-26.2656267899999,-8.94540535367872,-24.5373763450537
"31",-26.2897428856175,-8.93223137816752,-24.5581601075641
"32",-26.2897428856175,-8.93223137816752,-24.5581601075641
"33",-26.2897428856175,-8.93223137816752,-24.5581601075641
"34",-26.2897428856175,-8.93223137816752,-24.5581601075641
"35",-26.2897428856175,-8.93223137816752,-24.5581601075641
"36",-26.2897428856175,-8.93223137816752,-24.5581601075641
"37",-26.2897428856175,-8.93223137816752,-24.5581601075641
"38",-26.2897428856175,-8.93223137816752,-24.5581601075641
"39",-26.2897428856175,-8.93223137816752,-24.5581601075641
"40",-26.2897428856175,-8.93223137816752,-24.5581601075641
"41",-26.2897428856175,-8.93223137816752,-24.5581601075641
"42",-26.2897428856175,-8.93223137816752,-24.5581601075641
