Cluster ID	Time	Cell Stage	Parent cluster	MU PC 1	MU PC 2	MU PC 3	MU PC 4	MU PC 5	MU PC 6	MU PC 7	MU PC 8	MU PC 9	MU PC 10	MU PC 11	MU PC 12	MU PC 13	MU PC 14	MU PC 15	MU PC 16	MU PC 17	MU PC 18	MU PC 19	MU PC 20	MU PC 21	MU PC 22	MU PC 23	MU PC 24	MU PC 25	MU PC 26	MU PC 27	MU PC 28	MU PC 29	MU PC 30	MU PC 31	MU PC 32	MU PC 33	MU PC 34	MU PC 35	MU PC 36	MU PC 37	MU PC 38	MU PC 39	MU PC 40	MU PC 41	MU PC 42	MU PC 43	MU PC 44	MU PC 45	MU PC 46	MU PC 47	MU PC 48	MU PC 49	MU PC 50	MU PC 51	MU PC 52	MU PC 53	MU PC 54	MU PC 55	MU PC 56	MU PC 57	MU PC 58	MU PC 59
1	1	0	0	-2.103908e+00	6.017942e+00	2.011971e+00	4.368903e+00	6.355511e+00	2.551845e+00	-3.598393e-01	2.844837e+00	2.248140e+00	2.420468e-01	-3.195187e+00	-5.114581e-02	-5.641368e-01	-4.680374e-01	1.708117e-01	-1.091078e+00	-1.270245e-01	-7.819946e-01	8.947352e-01	-2.034740e+00	-2.345060e+00	-3.961515e-01	-1.206750e+00	-7.920983e-01	2.111805e-01	1.763199e+00	-1.453185e-01	-2.071163e+00	7.552586e-01	-1.315859e+00	1.324784e-01	-1.467654e+00	9.489800e-01	-1.260019e+00	-1.836515e+00	1.823907e-01	-3.346178e-01	1.542264e+00	1.051969e-01	-2.630278e-02	8.344427e-01	-2.064673e-01	-7.869112e-01	-1.462637e+00	-9.596017e-02	8.889111e-01	7.907174e-01	-4.127350e-01	-1.545537e+00	2.667078e+00	-5.153137e-01	-2.162511e+00	7.064520e-01	2.228374e+00	-1.164960e+00	6.153688e-01	1.421487e+00	6.302624e-01	9.546101e-02
2	2	1	1	-1.450823e+00	7.946274e+00	1.861636e+00	5.048747e+00	6.985042e+00	2.484588e+00	-6.821700e-01	2.912385e+00	2.411401e+00	4.469592e-01	-2.968517e+00	2.139113e-01	-5.694470e-01	-4.254806e-01	-1.268577e-04	-1.103503e+00	-7.786251e-02	-5.545895e-01	7.240492e-01	-1.974081e+00	-2.521985e+00	-1.952943e-01	-9.829867e-01	-6.066506e-01	2.193658e-01	1.023622e+00	4.934559e-02	-1.970220e+00	5.437835e-01	-8.546984e-01	8.606187e-02	-1.580096e+00	8.374100e-01	-1.173057e+00	-1.844382e+00	3.609353e-02	-1.544678e-02	1.762901e+00	3.231898e-01	-2.728158e-01	1.078227e+00	-2.157102e-01	-3.086500e-01	-1.511108e+00	1.428190e-01	1.088111e+00	4.136656e-01	-8.598817e-01	-1.283193e+00	2.587647e+00	-9.261829e-01	-2.190353e+00	2.287459e-01	1.955498e+00	-1.208398e+00	8.368402e-01	1.552205e+00	1.049514e+00	2.107837e-01
3	3	2	2	-2.366849e+00	6.185757e+00	2.122957e+00	3.940907e+00	6.676906e+00	2.694348e+00	-6.617909e-01	2.351083e+00	2.201654e+00	2.465336e-01	-2.994144e+00	5.695813e-01	-6.314991e-01	-2.853631e-01	-2.671014e-01	-1.189140e+00	-6.959792e-02	-6.582280e-01	6.224072e-01	-1.777371e+00	-2.617649e+00	-3.269013e-01	-6.923401e-01	-6.959528e-01	2.141553e-01	1.012736e+00	1.844406e-01	-1.830113e+00	6.676757e-01	-8.383440e-01	-4.730810e-02	-1.188042e+00	1.172137e+00	-1.173914e+00	-1.524559e+00	5.093212e-02	1.590053e-01	1.736106e+00	1.308732e-01	-4.229520e-01	1.131794e+00	-3.746066e-01	-1.622653e-01	-1.277188e+00	2.067545e-01	1.194832e+00	5.753968e-01	-1.048599e+00	-1.120245e+00	2.385062e+00	-9.590362e-01	-2.173791e+00	2.299864e-01	1.701988e+00	-1.349137e+00	5.601903e-01	1.681842e+00	7.877290e-01	4.472656e-01
4	4	3	3	-2.667892e+00	6.939135e+00	1.660163e+00	4.512796e+00	7.074285e+00	2.568584e+00	-1.133156e+00	2.497673e+00	2.411655e+00	2.701226e-01	-2.779587e+00	4.864782e-01	-5.782717e-01	3.451507e-02	1.426898e-01	-1.312490e+00	-2.918150e-01	-4.708025e-02	8.361059e-01	-1.380106e+00	-2.300605e+00	-3.103897e-01	-4.699480e-01	-4.916747e-01	4.324978e-02	8.391718e-01	6.042032e-02	-1.518107e+00	7.159726e-01	-1.141963e+00	-4.810988e-01	-8.521662e-01	1.206546e+00	-1.116159e+00	-1.331678e+00	-3.316055e-01	3.709542e-01	1.833621e+00	-1.803043e-01	-3.650376e-01	1.149235e+00	-5.443187e-01	3.119134e-01	-1.087719e+00	1.564100e-01	1.106469e+00	6.065824e-01	-7.724692e-01	-1.225085e+00	2.551203e+00	-8.885103e-01	-2.179575e+00	9.216238e-02	1.613981e+00	-1.463602e+00	9.351780e-01	1.896836e+00	8.956659e-01	4.322561e-01
5	5	4	4	-1.321683e+00	3.989310e+00	2.468201e+00	4.584986e+00	7.361208e+00	3.318757e+00	-9.195079e-01	1.229075e+00	1.123698e+00	2.192533e-01	-1.801872e+00	5.963254e-01	-1.270581e-01	6.510481e-01	-2.805776e-01	-1.724501e+00	6.240132e-01	3.961466e-01	1.480957e+00	-4.572995e-01	-1.989072e+00	-1.279958e+00	5.750037e-01	-9.699670e-01	-2.949625e-01	-5.348269e-02	8.461283e-01	-1.062423e+00	6.692175e-01	-1.295144e+00	-7.700010e-01	-1.569488e+00	1.478968e+00	-8.799150e-01	-1.532759e+00	-5.559075e-01	1.846306e+00	6.469941e-01	-5.615574e-01	-6.803298e-01	2.028611e+00	-3.778704e-02	-5.567816e-01	-1.013353e+00	-4.975237e-02	7.178472e-01	-3.672391e-01	-2.455462e+00	-1.391876e+00	1.466834e+00	-1.073622e+00	-9.724293e-01	-7.968877e-01	2.371713e+00	-4.890585e-02	5.117573e-01	5.822703e-01	-1.061129e+00	1.327290e+00
6	6	5	5	-8.561446e-01	1.777034e+00	2.265565e+00	5.015079e+00	7.458170e+00	3.248806e+00	-1.596313e+00	-1.166116e-01	1.713771e+00	3.267470e-01	-1.574528e+00	5.995809e-01	-1.456656e-01	8.449091e-01	-4.865642e-01	-1.995803e+00	8.324638e-01	-8.751235e-02	1.645004e+00	-9.595293e-02	-2.221099e+00	-8.733957e-01	1.038185e+00	-6.323822e-01	-8.887485e-02	-3.675120e-01	1.037395e+00	-7.522487e-01	3.406236e-01	-8.502959e-01	-1.299988e+00	-6.368077e-01	1.457565e+00	-6.426369e-01	-1.000258e+00	-7.893251e-01	1.602381e+00	-1.023033e-01	-6.625354e-01	8.849604e-02	2.161974e+00	8.213675e-01	-2.202942e-01	-8.586538e-01	-2.915474e-01	9.255400e-01	-1.773499e-01	-2.737018e+00	-1.183625e+00	6.591520e-01	-1.388221e+00	-6.804210e-01	-7.891842e-01	1.715729e+00	-5.356571e-01	6.962492e-01	3.546660e-01	-1.501949e+00	1.084318e+00
7	7	6	6	-4.332947e-01	-2.614454e+00	3.294802e+00	8.619187e+00	7.794236e+00	2.443093e+00	-2.237097e+00	2.040584e-01	2.324027e+00	1.169799e+00	-7.935727e-01	-1.966441e-01	-1.264558e+00	-9.471374e-02	-1.410563e+00	-2.073510e+00	3.873799e-01	9.981775e-01	5.174790e-01	-1.077195e+00	-2.032648e+00	-5.735231e-01	8.798900e-01	-1.468778e+00	-3.970230e-01	2.315057e-01	1.635065e+00	-2.785390e+00	-1.012501e+00	3.580440e-01	-1.537637e+00	3.038031e-01	7.798602e-01	5.396927e-01	-1.526541e+00	-4.850341e-01	4.195840e-01	4.381544e-01	-4.540898e-01	-1.210529e-01	2.085026e+00	6.970010e-01	-1.859091e-01	6.082759e-01	-4.130265e-01	3.626439e-01	4.597804e-01	-2.282118e+00	4.271053e-01	-5.570461e-01	-1.167399e+00	-8.003672e-01	-1.678209e+00	1.290038e-01	-4.934211e-01	8.312381e-01	7.772340e-01	-3.766383e-01	1.878431e+00
8	8	6.100000e+00	7	7.502769e-02	-2.782568e+00	1.348890e+00	8.348729e+00	7.737833e+00	1.891228e+00	-2.454396e+00	-4.944277e-01	2.336770e+00	9.345294e-01	-9.281756e-01	-1.540849e+00	-1.135775e+00	-4.380020e-01	-1.838142e+00	-1.791435e+00	7.870075e-02	1.028694e+00	1.354845e+00	-1.691906e+00	-1.578885e+00	-1.082302e+00	1.067414e+00	-1.348908e+00	-2.340312e-01	1.551647e-01	1.674552e+00	-1.988650e+00	-8.756331e-01	2.209171e-01	-1.945879e+00	4.908095e-01	1.605190e+00	3.047087e-01	-1.437801e+00	-9.201794e-01	3.543618e-01	-1.757150e-01	-1.035913e+00	2.158925e-01	1.507766e+00	7.909355e-01	-8.041095e-01	-4.654276e-02	-4.041298e-01	-4.762268e-03	2.037514e-01	-2.697204e+00	9.802289e-01	-1.414423e-01	-1.009213e+00	-6.623877e-01	-1.626739e+00	-6.509468e-01	-2.133034e-01	7.973640e-01	5.464922e-01	-4.298802e-01	2.085547e+00
9	9	7	8	-1.252234e-01	-9.243976e+00	2.651961e+00	2.058941e+00	3.682716e+00	1.821928e+00	-1.289172e+00	-8.066430e-01	1.680947e-02	-1.817880e-01	-2.928513e-01	8.977368e-01	-6.178843e-01	-3.597154e-01	-1.054340e+00	-1.749644e+00	-2.745539e-01	9.455419e-01	-1.884056e-01	-8.292604e-01	-6.523344e-01	-6.863872e-01	5.389297e-01	-3.606856e-01	-1.006589e+00	6.703214e-01	-1.649670e-01	-8.603989e-01	-4.754690e-02	1.383171e-01	-3.881782e-01	2.160564e-01	1.255874e+00	-7.150979e-01	-7.624096e-01	-5.046436e-01	4.897515e-01	-3.088724e-01	-8.354001e-01	-5.350345e-01	2.834808e-02	1.130637e-02	-3.760975e-02	-3.268377e-01	-4.402298e-01	5.793914e-01	1.055053e+00	-1.016136e+00	-3.348650e-02	-3.027512e-01	1.444170e-01	-7.731107e-01	-1.991128e-01	-1.373589e+00	-1.496691e-02	-4.932921e-01	-5.238176e-01	-1.018018e-01	6.824255e-01
10	10	8	9	-1.249388e+01	-1.426220e+01	6.712106e+00	5.621045e+00	1.272991e+00	-4.973519e-01	-1.135278e+00	1.101723e+00	-6.175204e-02	-4.357556e-02	9.172510e-02	2.097987e-01	-2.286515e-01	-9.617964e-02	3.550258e-01	3.169328e-01	3.243025e-01	5.770158e-01	-1.598560e-01	-7.683470e-01	1.750070e+00	-3.353903e-01	4.096707e-01	6.290432e-02	-1.479376e-02	-1.616343e-01	1.146871e+00	-1.557994e+00	2.609705e-01	1.227366e-01	-1.063284e-03	-6.982830e-02	1.122196e+00	-4.344766e-01	-9.504065e-02	-2.226955e-01	-1.144185e+00	2.921219e-01	-3.515677e-01	-1.779454e-01	3.175350e-01	9.806804e-02	-2.915776e-01	1.246062e-01	-7.310693e-01	1.256949e+00	6.825978e-02	-1.276735e+00	-1.965852e-01	-1.334993e-01	8.585494e-03	-8.836291e-01	-1.667474e-01	-9.408315e-02	-1.336615e-01	4.661994e-01	-1.247561e-02	-1.348243e+00	-5.383660e-01
