	gene_short_name
A2M	A2M
A4GNT	A4GNT
SLC27A5	SLC27A5
SLC27A6	SLC27A6
SLC2A1	SLC2A1
SLC2A14	SLC2A14
SLC2A2	SLC2A2
SLC2A3	SLC2A3
SLC2A4	SLC2A4
SLC2A4RG	SLC2A4RG
SLC2A8	SLC2A8
SLC30A4	SLC30A4
SLC32A1	SLC32A1
SLC34A2	SLC34A2
SLC35F3	SLC35F3
SLC38A1	SLC38A1
SLC43A3	SLC43A3
SLC45A3	SLC45A3
SLC4A1	SLC4A1
SLC4A11	SLC4A11
SLC6A12	SLC6A12
SLC6A9	SLC6A9
SLC7A1	SLC7A1
SLC9A3	SLC9A3
SLCO1A2	SLCO1A2
SLITRK2	SLITRK2
SMAD1	SMAD1
SMAD2	SMAD2
SMAD3	SMAD3
SMAD4	SMAD4
SMAD5	SMAD5
SMAD6	SMAD6
SMAD7	SMAD7
SMAD9	SMAD9
SMARCA1	SMARCA1
SMARCA2	SMARCA2
SMARCA4	SMARCA4
SMARCA5	SMARCA5
SMARCB1	SMARCB1
SMARCC1	SMARCC1
SMARCC2	SMARCC2
SMARCD3	SMARCD3
SMO	SMO
SMOC2	SMOC2
SMS	SMS
SMTN	SMTN
SMURF1	SMURF1
SMURF2	SMURF2
SMYD3	SMYD3
SNAI1	SNAI1
SNAI2	SNAI2
SNAP25	SNAP25
SNRPB	SNRPB
SNW1	SNW1
SNX11	SNX11
SOCS1	SOCS1
SOCS2	SOCS2
SOCS3	SOCS3
SOCS4	SOCS4
SOCS5	SOCS5
SOD1	SOD1
SOD2	SOD2
SOD3	SOD3
SOHLH2	SOHLH2
SORBS1	SORBS1
SORD	SORD
SOS1	SOS1
SOSTDC1	SOSTDC1
SOX1	SOX1
SOX15	SOX15
SOX17	SOX17
SOX2	SOX2
SOX3	SOX3
SOX4	SOX4
SOX6	SOX6
SOX7	SOX7
SOX9	SOX9
SP1	SP1
SP110	SP110
SP6	SP6
SPA17	SPA17
SPARC	SPARC
SPATA20	SPATA20
SPATA22	SPATA22
SPATS2L	SPATS2L
SPDEF	SPDEF
SPEN	SPEN
SPESP1	SPESP1
SPG7	SPG7
SPHKAP	SPHKAP
SPI1	SPI1
SPOCK1	SPOCK1
SPP1	SPP1
SPTAN1	SPTAN1
SQSTM1	SQSTM1
SRC	SRC
SRCRB4D	SRCRB4D
SRD5A1	SRD5A1
SREBF1	SREBF1
SREBF2	SREBF2
SRF	SRF
SRM	SRM
SRMS	SRMS
SRR	SRR
SRSF1	SRSF1
SRXN1	SRXN1
SSH1	SSH1
SSH3	SSH3
SSR4	SSR4
SST	SST
SSTR2	SSTR2
SSU72	SSU72
ST14	ST14
ST3GAL1	ST3GAL1
ST3GAL2	ST3GAL2
ST6GAL1	ST6GAL1
ST6GALNAC1	ST6GALNAC1
ST6GALNAC6	ST6GALNAC6
ST8SIA2	ST8SIA2
ST8SIA3	ST8SIA3
ST8SIA4	ST8SIA4
ST8SIA6	ST8SIA6
STAM	STAM
STARD3	STARD3
STAT1	STAT1
STAT2	STAT2
STAT3	STAT3
STAT4	STAT4
STAT5A	STAT5A
STAT5B	STAT5B
STAT6	STAT6
STEAP4	STEAP4
STK11	STK11
STK25	STK25
STK3	STK3
STK36	STK36
STK38L	STK38L
STK39	STK39
STK4	STK4
STMN1	STMN1
STRA6	STRA6
STRA8	STRA8
STRADA	STRADA
STRADB	STRADB
STUB1	STUB1
STX11	STX11
SUCLA2	SUCLA2
SUCLG1	SUCLG1
SUCLG2	SUCLG2
SUFU	SUFU
SUGP1	SUGP1
SUGT1	SUGT1
SULF1	SULF1
SUSD1	SUSD1
SUSD4	SUSD4
SUV39H1	SUV39H1
SUV420H1	SUV420H1
SUZ12	SUZ12
SVIL	SVIL
SYCP3	SYCP3
SYK	SYK
SYNJ2	SYNJ2
SYT1	SYT1
SYT13	SYT13
SYTL4	SYTL4
SYVN1	SYVN1
T	T
TAB1	TAB1
TAB2	TAB2
TAC3	TAC3
TACR1	TACR1
TACSTD2	TACSTD2
TAGLN	TAGLN
TAL1	TAL1
TALDO1	TALDO1
TAOK1	TAOK1
TAOK2	TAOK2
TAOK3	TAOK3
TAT	TAT
TAZ	TAZ
TBK1	TBK1
TBPL2	TBPL2
TBX1	TBX1
TBX2	TBX2
TBX21	TBX21
TBX3	TBX3
TBX5	TBX5
TCF15	TCF15
TCF20	TCF20
TCF3	TCF3
TCF4	TCF4
TCF7	TCF7
TCF7L1	TCF7L1
TCF7L2	TCF7L2
TCL1A	TCL1A
TCN2	TCN2
TCP1	TCP1
TDGF1	TDGF1
TDO2	TDO2
TDRD12	TDRD12
TDRD5	TDRD5
TDRD9	TDRD9
